,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FAM58A,85.26399095923273,0.4326968639083933,0.24670696487958482,1.7538899403167976,0.07944936764924779,0.4104059489527769
FAM59A,26.670040033328878,0.42062965653118367,0.3785024286146958,1.111299755910872,0.26643934443638173,0.7004504888122689
FAM60A,35.56851630453383,-0.00873341925792119,0.39190567692573736,-0.022284492856621967,0.9822210187194909,0.997399107493481
FAM63B,158.87786802602614,-0.6181757795572158,0.2263561849509568,-2.7309869164438876,0.006314497839410698,0.08942944929867036
FAM64A,165.88039112213835,0.4462386462581679,0.19073190663398576,2.3396119408301157,0.01930378570791666,0.18650334576810162
FAM65A,16.090569437525225,0.2830009149717138,0.46050244473757707,0.6145481271722354,0.5388531804056133,0.8720016538151438
FAM65B,119.56714177262961,-1.479662762013555,0.2503383307689913,-5.9106520262730635,3.407561936856434e-09,5.17118301734652e-07
FAM69A,45.14736442478041,-0.46376060175541695,0.2789007623221144,-1.6628158270137676,0.09634930750428528,0.450233114000498
FAM70B,12.34402312976946,0.3259681080790133,0.5075197996153065,0.6422766330024818,0.5206935834654014,0.8623740738714515
FAM72A,16.322884237942702,0.016874423446121587,0.49067272118619043,0.03439038429796554,0.9725658511563995,0.9951918158787388
FAM72B,8.234039167714208,0.5247342536547558,0.5790060403543926,0.9062673220707358,0.364794377340275,0.7804054783989047
FAM72D,20.94228844812495,0.45661636207567113,0.4411552883495947,1.0350467831495749,0.30064706351092174,0.7339354316388262
FAM73A,97.60151225042003,-0.1585646489478697,0.24224249523339483,-0.654569912661676,0.5127447008159924,0.8582476772026985
FAM73B,107.91270960996138,0.029679320376868483,0.21794455856341313,0.13617830411780155,0.8916803261836829,0.9766807480881743
FAM76A,63.34493651362858,0.353423060303919,0.26268565985444503,1.3454219788767754,0.17848900143885194,0.5982098938148684
FAM76B,68.63175222914006,0.07715778027349116,0.3418227712993053,0.22572451794304427,0.8214156876195639,0.9623137654620461
FAM78A,15.409034880927276,0.4856795698531578,0.4773856085413881,1.0173737145891582,0.3089756814732737,0.7388080891385134
FAM82A2,142.07766089270842,-0.10776845572199582,0.28177995903184955,-0.3824560699500094,0.7021231077224015,0.9291560861944457
FAM82B,373.68733836938054,-0.09032479671588849,0.19441592680349146,-0.464595664568086,0.6422210375622248,0.9113810469784716
FAM83D,126.02408089143854,0.6850590918416328,0.22333392839711136,3.067420596406316,0.002159148160226023,0.04101035835142487
FAM83G,286.9785006569788,1.0142713083209765,0.1745249555593489,5.811611898540571,6.187415307639879e-09,8.51721521952407e-07
FAM83H,67.62422958096337,-0.5782373277553676,0.24940786085415576,-2.318440668931036,0.02042538395261653,0.19299428846344732
FAM84B,4.347572162120852,-0.28733945772889075,0.7952665298201426,-0.3613121475059128,0.7178661138309191,0.9327430597544225
FAM86A,51.731321745517505,0.19500553159608605,0.2629714915823393,0.7415462810158935,0.4583622811140944,0.8335321096279104
